Ncoders,who,when,what,observations,ground_truth,distance,CVR,Kalpha
6,7374,28,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 6}]","{'situation': 'BlockedByDebris', 'object': 'CityHall'}",0,1,1
12,2649,26,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 12}]",,0,1,1
18,6701,33,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 18}]",,0,1,1
24,2625,8,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 24}]",,0,1,1
30,1461,8,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 30}]",,0,1,1
36,6331,5,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 36}]",,0,1,1
42,8640,5,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 42}]",,0,1,1
48,9505,5,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 48}]",,0,1,1
54,5103,38,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 54}]",,0,1,1
60,9315,36,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 60}]",,0,1,1
66,4678,15,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 66}]",,0,1,1
72,9961,15,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 72}]",,0,1,1
78,9861,16,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 78}]",,0,1,1
84,5135,65,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 84}]",,0,1,1
90,6766,64,0,"[{'situation': 'BlockedByDebris', 'object': 'CityHall', 'coders': 90}]",,0,1,1
