sent_to_db_loop
0
0
0
0
0
3
3
3
5
6
6
6
6
8
8
9
9
9
9
9
9
11
11
11
11
12
12
12
12
12
12
12
13
13
15
15
15
16
17
18
18
18
18
18
18
19
19
20
21
21
21
22
23
23
24
24
24
24
24
24
24
25
25
