0,4232
2,9198
2,9198
2,9198
4,0072
4,2064
4,2844
6,5842
7,0474
7,4976
10,3224
11,1708
11,714
16,272
17,5546
18,7596
23,4722
25,7776
26,897
34,562
37,3448
39,753
48,8098
53,3044
56,6462
70,0894
76,1186
81,4654
98,2898
105,5956
112,413
132,7034
141,6658
150,6866
175,0154
185,5204
197,809
229,0972
243,3166
256,166
292,3686
314,645
331,2512
374,9506
398,7382
422,6316
465,9486
495,3382
519,3416
571,6706
603,331
634,6396
699,9534
740,882
776,2072
850,841
894,6556
944,6686
1023,9804
1068,9748
1118,3672
1232,5088
