sent_to_db_loop
0
0
0
3
6
9
9
9
9
11
11
11
11
12
12
12
13
13
15
15
17
18
18
18
19
20
21
25
28
28
28
29
29
30
30
30
30
31
33
34
34
34
34
34
34
34
35
36
36
37
39
39
39
39
41
42
42
42
43
43
44
44
45
