event,latency
"{'situation': 'NoWaterPeople', 'object': 'School'}",0
"{'situation': 'NoWaterPeople', 'object': 'Family'}",700
"{'situation': 'NoWaterPeople', 'object': 'Family'}",682
"{'situation': 'NoWaterPeople', 'object': 'Family'}",691
"{'situation': 'NoWaterPeople', 'object': 'Family'}",657
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",397
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",361
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",713
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",733
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",733
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",689
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",694
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",669
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",663
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",626
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",627
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",513
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",703
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",693
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",683
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",658
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",613
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",583
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",526
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",501
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",491
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",474
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",464
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",451
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",439
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",441
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",431
