event,latency
"{'situation': 'NoFoodPeople', 'object': 'OldPerson'}",674
"{'situation': 'NoFoodPeople', 'object': 'OldPerson'}",650
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",559
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",537
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",522
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",485
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",244
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",1076
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",932
"{'situation': 'TrafficJam', 'object': 'School'}",795
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",770
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",764
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",724
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",690
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",684
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",468
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",434
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",428
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",282
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1013
"{'situation': 'BlockedBuilding', 'object': 'Family'}",998
"{'situation': 'BlockedBuilding', 'object': 'Family'}",973
"{'situation': 'BlockedBuilding', 'object': 'Family'}",958
"{'situation': 'BlockedBuilding', 'object': 'Family'}",870
"{'situation': 'BlockedBuilding', 'object': 'Family'}",782
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",931
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",895
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",889
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",887
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",821
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",785
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",760
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",889
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",851
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",862
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",824
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",775
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",684
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",744
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",726
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",689
"{'situation': 'TrafficJam', 'object': 'School'}",721
"{'situation': 'TrafficJam', 'object': 'School'}",665
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",645
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",607
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",562
"{'situation': 'TrafficJam', 'object': 'School'}",459
"{'situation': 'TrafficJam', 'object': 'School'}",370
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1086
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1078
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1056
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",1050
"{'situation': 'PanickedPeople', 'object': 'Students'}",935
"{'situation': 'PanickedPeople', 'object': 'Students'}",929
"{'situation': 'PanickedPeople', 'object': 'Students'}",919
"{'situation': 'PanickedPeople', 'object': 'Students'}",913
"{'situation': 'PanickedPeople', 'object': 'Students'}",903
"{'situation': 'PanickedPeople', 'object': 'Students'}",885
"{'situation': 'PanickedPeople', 'object': 'Students'}",867
"{'situation': 'PanickedPeople', 'object': 'Students'}",819
"{'situation': 'PanickedPeople', 'object': 'Students'}",813
"{'situation': 'PanickedPeople', 'object': 'Students'}",748
"{'situation': 'PanickedPeople', 'object': 'Students'}",738
"{'situation': 'PanickedPeople', 'object': 'Students'}",567
"{'situation': 'PanickedPeople', 'object': 'Students'}",549
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",531
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",525
"{'situation': 'BlockedBuilding', 'object': 'Family'}",519
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",509
"{'situation': 'BlockedBuilding', 'object': 'Family'}",473
"{'situation': 'BlockedBuilding', 'object': 'Family'}",451
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",334
"{'situation': 'TrafficJam', 'object': 'School'}",38
"{'situation': 'TrafficJam', 'object': 'School'}",28
"{'situation': 'NoMedicinePeople', 'object': 'GasStation'}",0
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",0
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",0
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",0
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",0
"{'situation': 'NoWaterPeople', 'object': 'Family'}",1379
"{'situation': 'NoWaterPeople', 'object': 'Family'}",1361
"{'situation': 'NoWaterPeople', 'object': 'Family'}",1370
"{'situation': 'NoWaterPeople', 'object': 'Family'}",1336
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1076
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1040
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",1392
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1412
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1412
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1368
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1373
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1348
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1342
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1305
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1306
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1192
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1382
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1372
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1362
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",1337
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1292
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1262
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",1205
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1180
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1170
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1153
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1143
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1130
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",1118
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1120
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1110
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1070
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1034
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1032
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",966
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",930
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",905
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",1221
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",1034
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",996
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",1007
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",969
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",920
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",829
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",889
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",871
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",834
"{'situation': 'TrafficJam', 'object': 'School'}",866
"{'situation': 'TrafficJam', 'object': 'School'}",810
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1158
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1143
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1118
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1103
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1015
"{'situation': 'BlockedBuilding', 'object': 'Family'}",927
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",790
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",752
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",707
"{'situation': 'TrafficJam', 'object': 'School'}",604
"{'situation': 'TrafficJam', 'object': 'School'}",515
"{'situation': 'PanickedPeople', 'object': 'Students'}",712
"{'situation': 'PanickedPeople', 'object': 'Students'}",694
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",676
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",670
"{'situation': 'BlockedBuilding', 'object': 'Family'}",664
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",654
"{'situation': 'BlockedBuilding', 'object': 'Family'}",618
"{'situation': 'BlockedBuilding', 'object': 'Family'}",596
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",479
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",426
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",352
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",346
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",1077
"{'situation': 'TrafficJam', 'object': 'School'}",940
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",915
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",909
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",869
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",835
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",829
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",613
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",579
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",573
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",427
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",1219
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",1159
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",974
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",958
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",1070
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",1042
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",1026
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",956
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",743
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",733
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",723
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",713
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",689
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",683
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",665
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1030
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1000
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",970
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",960
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",950
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",940
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",930
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",890
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",850
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",840
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",810
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",800
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",790
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",760
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",720
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",641
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",389
"{'situation': 'TrafficJam', 'object': 'School'}",183
"{'situation': 'TrafficJam', 'object': 'School'}",173
"{'situation': 'TrafficJam', 'object': 'MiddleAgePerson'}",949
"{'situation': 'TrafficJam', 'object': 'MiddleAgePerson'}",939
"{'situation': 'TrafficJam', 'object': 'MiddleAgePerson'}",929
"{'situation': 'TrafficJam', 'object': 'MiddleAgePerson'}",913
"{'situation': 'TrafficJam', 'object': 'MiddleAgePerson'}",825
"{'situation': 'BlockedByDebris', 'object': 'Family'}",914
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",688
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",555
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",539
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",311
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",286
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",242
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",438
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",424
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",406
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",392
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",362
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",354
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",340
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",332
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",261
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",279
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",209
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",45
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",59
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",53
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",0
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",0
"{'situation': 'TrafficJam', 'object': 'School'}",0
"{'situation': 'BlockedBuilding', 'object': 'Family'}",0
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1193
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1197
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1183
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1161
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1165
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1139
"{'situation': 'CollapsedBuilding', 'object': 'ButcheryShop'}",1146
"{'situation': 'CollapsedBuilding', 'object': 'ButcheryShop'}",1082
"{'situation': 'CollapsedBuilding', 'object': 'ButcheryShop'}",1050
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",635
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",995
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",775
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",767
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",709
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",701
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",651
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",617
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",479
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",471
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",457
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",443
"{'situation': 'BlockedBuilding', 'object': 'Family'}",0
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",0
"{'situation': 'SeverelyInjuredPeople', 'object': 'House'}",0
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",542
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",528
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",510
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",496
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",466
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",458
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",444
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",436
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",530
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",456
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",450
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",365
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",383
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",313
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",149
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",163
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",157
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",297
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",113
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",0
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",0
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",0
"{'situation': 'TrafficJam', 'object': 'School'}",35
"{'situation': 'TrafficJam', 'object': 'School'}",25
"{'situation': 'TrafficJam', 'object': 'School'}",15
"{'situation': 'TrafficJam', 'object': 'School'}",5
"{'situation': 'TrafficJam', 'object': 'School'}",0
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1289
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1293
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1279
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1257
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1261
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1235
"{'situation': 'CollapsedBuilding', 'object': 'ButcheryShop'}",1242
"{'situation': 'CollapsedBuilding', 'object': 'ButcheryShop'}",1178
"{'situation': 'CollapsedBuilding', 'object': 'ButcheryShop'}",1146
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",731
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",1091
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",871
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",863
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",805
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",797
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",747
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",713
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",575
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",567
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",553
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",539
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",1226
"{'situation': 'TrafficJam', 'object': 'School'}",1089
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",1064
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",1058
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",1018
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",984
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",978
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",762
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",728
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",722
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",576
"{'situation': 'TrafficJam', 'object': 'School'}",664
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1380
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1372
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1350
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",1344
"{'situation': 'PanickedPeople', 'object': 'Students'}",1229
"{'situation': 'PanickedPeople', 'object': 'Students'}",1223
"{'situation': 'PanickedPeople', 'object': 'Students'}",1213
"{'situation': 'PanickedPeople', 'object': 'Students'}",1207
"{'situation': 'PanickedPeople', 'object': 'Students'}",1197
"{'situation': 'PanickedPeople', 'object': 'Students'}",1179
"{'situation': 'PanickedPeople', 'object': 'Students'}",1161
"{'situation': 'PanickedPeople', 'object': 'Students'}",1113
"{'situation': 'PanickedPeople', 'object': 'Students'}",1107
"{'situation': 'PanickedPeople', 'object': 'Students'}",1042
"{'situation': 'PanickedPeople', 'object': 'Students'}",1032
"{'situation': 'PanickedPeople', 'object': 'Students'}",861
"{'situation': 'PanickedPeople', 'object': 'Students'}",843
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",825
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",819
"{'situation': 'BlockedBuilding', 'object': 'Family'}",813
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",803
"{'situation': 'BlockedBuilding', 'object': 'Family'}",767
"{'situation': 'BlockedBuilding', 'object': 'Family'}",745
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",628
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",1368
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",1308
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",1123
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",1107
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",1219
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",1191
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",1175
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",1105
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",892
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",882
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",872
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",862
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",838
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",832
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",814
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1179
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1149
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1119
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1109
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1099
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1089
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1079
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1039
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",999
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",989
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",959
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",949
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",939
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",909
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",869
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",790
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",538
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",575
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",501
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",495
"{'situation': 'TrafficJam', 'object': 'School'}",332
"{'situation': 'TrafficJam', 'object': 'School'}",322
"{'situation': 'TrafficJam', 'object': 'MiddleAgePerson'}",1098
"{'situation': 'TrafficJam', 'object': 'MiddleAgePerson'}",1088
"{'situation': 'TrafficJam', 'object': 'MiddleAgePerson'}",1078
"{'situation': 'TrafficJam', 'object': 'MiddleAgePerson'}",1062
"{'situation': 'TrafficJam', 'object': 'MiddleAgePerson'}",974
"{'situation': 'BlockedByDebris', 'object': 'Family'}",1063
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",837
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",704
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",688
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",460
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",435
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",391
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",587
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",573
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",555
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",541
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",511
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",503
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",489
"{'situation': 'TrafficJam', 'object': 'OldPerson'}",481
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",410
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",428
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",358
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",194
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",208
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",202
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",342
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",158
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",0
"{'situation': 'SeverelyInjuredPeople', 'object': 'House'}",0
"{'situation': 'TrafficJam', 'object': 'School'}",22
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",1280
"{'situation': 'TrafficJam', 'object': 'School'}",1143
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",1118
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",1112
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",1072
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",1038
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",1032
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",816
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",782
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",776
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",630
"{'situation': 'TrafficJam', 'object': 'School'}",718
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1434
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1426
"{'situation': 'BlockedBuilding', 'object': 'Family'}",1404
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",1398
"{'situation': 'PanickedPeople', 'object': 'Students'}",1283
"{'situation': 'PanickedPeople', 'object': 'Students'}",1277
"{'situation': 'PanickedPeople', 'object': 'Students'}",1267
"{'situation': 'PanickedPeople', 'object': 'Students'}",1261
"{'situation': 'PanickedPeople', 'object': 'Students'}",1251
"{'situation': 'PanickedPeople', 'object': 'Students'}",1233
"{'situation': 'PanickedPeople', 'object': 'Students'}",1215
"{'situation': 'PanickedPeople', 'object': 'Students'}",1167
"{'situation': 'PanickedPeople', 'object': 'Students'}",1161
"{'situation': 'PanickedPeople', 'object': 'Students'}",1096
"{'situation': 'PanickedPeople', 'object': 'Students'}",1086
"{'situation': 'PanickedPeople', 'object': 'Students'}",915
"{'situation': 'PanickedPeople', 'object': 'Students'}",897
