id,dir_obs_id,observer,a1,a2,sender,where,when,sent_at_loop,sent_where
110,25,5620,4994,58,58,394933697,3,3,394933697
111,25,5620,6281,58,58,394933697,3,3,394933697
112,26,6281,6281,5620,58,394933697,0,3,394933697
113,26,6281,5620,4994,58,394933701,0,3,394933697
114,26,6281,6281,4994,58,394933701,0,3,394933697
115,26,6281,6756,4994,58,394933701,0,3,394933697
116,26,6281,5620,6756,58,394933697,0,3,394933697
117,26,6281,6281,6756,58,394933697,0,3,394933697
118,26,6281,4994,58,58,394933697,3,3,394933697
119,26,6281,6281,58,58,394933697,3,3,394933697
120,27,6756,6756,5620,58,394933697,0,3,394933697
121,27,6756,5620,4994,58,394933701,0,3,394933697
122,27,6756,6281,4994,58,394933701,0,3,394933697
123,27,6756,5620,6281,58,394933697,0,3,394933697
124,27,6756,6756,6281,58,394933697,0,3,394933697
125,27,6756,6756,4994,58,394933701,0,3,394933697
126,27,6756,4994,58,58,394933697,3,3,394933697
127,27,6756,6281,58,58,394933697,3,3,394933697
128,28,4994,4994,58,58,394933697,3,3,394933697
129,29,5705,5705,58,58,394933697,3,3,394933697
130,30,6281,6281,58,58,394933697,3,3,394933697
131,31,8898,8898,23,23,920575670,5,5,920575670
132,32,807,807,8898,23,920575088,0,5,920575670
133,32,807,2408,8898,23,920575088,0,5,920575670
134,32,807,807,2408,23,920575088,0,5,920575670
135,32,807,6279,8898,23,920575088,0,5,920575670
136,32,807,807,6279,23,920575088,0,5,920575670
137,32,807,2408,6279,23,920575088,0,5,920575670
138,32,807,8898,23,23,920575670,5,5,920575670
139,33,2408,2408,807,23,920575088,0,5,920575670
140,33,2408,807,8898,23,920575088,0,5,920575670
141,33,2408,2408,8898,23,920575088,0,5,920575670
142,33,2408,6279,8898,23,920575088,0,5,920575670
143,33,2408,807,6279,23,920575088,0,5,920575670
144,33,2408,2408,6279,23,920575088,0,5,920575670
145,33,2408,8898,23,23,920575670,5,5,920575670
146,34,6279,6279,807,23,920575088,0,5,920575670
147,34,6279,807,8898,23,920575088,0,5,920575670
148,34,6279,2408,8898,23,920575088,0,5,920575670
149,34,6279,807,2408,23,920575088,0,5,920575670
150,34,6279,6279,2408,23,920575088,0,5,920575670
151,34,6279,6279,8898,23,920575088,0,5,920575670
152,34,6279,8898,23,23,920575670,5,5,920575670
153,35,1874,1874,19,19,2341784479,6,6,2341784479
154,35,1874,9914,19,19,2341784479,6,6,2341784479
155,35,1874,1874,9914,19,2341784419,0,6,2341784479
156,36,9914,9914,1874,19,2341784419,0,6,2341784479
157,36,9914,1874,19,19,2341784479,6,6,2341784479
158,36,9914,9914,19,19,2341784479,6,6,2341784479
159,37,9650,9650,22,22,2146616727,6,6,2146616727
160,38,2452,2452,9650,22,2334323188,0,6,2146616727
161,38,2452,2794,9650,22,2334323188,0,6,2146616727
162,38,2452,2452,2794,22,2334323188,0,6,2146616727
163,38,2452,4888,9650,22,2334323188,0,6,2146616727
164,38,2452,2452,4888,22,2334323188,0,6,2146616727
165,38,2452,2794,4888,22,2334323188,0,6,2146616727
166,38,2452,9650,22,22,2146616727,6,6,2146616727
167,39,2794,2794,2452,22,2334323188,0,6,2146616727
168,39,2794,2452,9650,22,2334323188,0,6,2146616727
169,39,2794,2794,9650,22,2334323188,0,6,2146616727
170,39,2794,4888,9650,22,2334323188,0,6,2146616727
171,39,2794,2452,4888,22,2334323188,0,6,2146616727
172,39,2794,2794,4888,22,2334323188,0,6,2146616727
173,39,2794,9650,22,22,2146616727,6,6,2146616727
174,40,4888,4888,2452,22,2334323188,0,6,2146616727
175,40,4888,2452,9650,22,2334323188,0,6,2146616727
176,40,4888,2794,9650,22,2334323188,0,6,2146616727
