sent_to_db_loop
0
0
0
0
3
3
4
6
6
7
8
9
9
9
10
11
12
12
12
14
15
15
15
16
18
18
18
18
18
19
19
20
21
21
21
24
24
24
25
25
26
27
27
27
28
30
30
30
30
30
30
30
31
31
33
33
34
35
36
37
37
37
37
37
