0,072
0,166
0,166
0,166
0,204
0,218
0,242
0,29
0,302
0,312
0,386
0,41
0,418
0,474
0,476
0,504
0,564
0,566
0,59
0,654
0,682
0,698
0,764
0,782
0,812
0,858
0,884
0,92
0,982
1,028
1,058
1,128
1,16
1,18
1,222
1,254
1,292
1,382
1,438
1,524
1,592
1,612
1,684
1,766
1,846
1,886
2,012
2,058
2,17
2,216
2,26
2,31
2,414
2,454
2,534
2,648
2,75
2,788
2,93
2,974
3,058
3,122
3,16
3,204
3,342
3,396
3,462
3,548
3,592
3,672
3,786
3,826
3,9
4,088
4,246
4,282
4,396
4,46
4,522
4,634
4,76
4,836
4,952
5,08
5,248
5,338
5,446
5,546
5,684
5,808
5,902
6,116
6,206
6,272
6,482
6,64
6,726
6,862
6,918
7,03
7,112
7,372
7,604
7,704
7,808
7,898
8,008
8,036
8,1
8,27
8,364
8,468
8,69
8,824
8,924
9,18
9,468
9,574
9,68
9,916
9,976
