0,014
0,038
0,038
0,038
0,056
0,058
0,068
0,076
0,08
0,086
0,124
0,132
0,134
0,156
0,16
0,184
0,22
0,22
0,236
0,274
0,3
0,322
0,358
0,362
0,404
0,434
0,45
0,512
0,544
0,588
0,646
0,7
0,746
0,766
0,802
0,826
0,876
0,988
1,042
1,164
1,26
1,276
1,388
1,514
1,656
1,696
1,93
1,972
2,166
2,244
2,294
2,426
2,578
2,642
2,736
2,956
3,17
3,266
3,54
3,666
3,744
3,826
3,918
3,982
4,308
4,404
4,478
4,59
4,668
4,978
5,124
5,222
5,294
5,666
5,998
6,072
6,338
6,58
6,7
6,816
7,12
7,336
7,562
8,028
8,334
8,59
8,928
9,166
9,454
9,686
10,052
10,51
10,686
10,842
11,59
11,946
12,468
13,11
13,304
13,848
14,134
15,042
15,782
16,166
16,69
16,948
17,226
17,332
17,58
18,378
18,56
18,794
19,59
20,094
20,448
21,584
22,38
22,884
23,28
24,204
24,342
