dir_obs_lats
0
0
0
0
0
0
0
3
0
3
3
0
6
3
0
6
6
7
3
9
9
9
9
9
9
9
11
11
11
11
12
9
12
12
0
12
12
13
0
13
14
15
9
15
8
17
18
18
18
12
18
12
13
19
20
21
22
16
18
24
24
18
27
27
24
