sent_to_db_loop
0
3
6
6
9
9
11
11
12
12
12
12
12
14
15
15
17
18
18
19
19
21
21
21
22
24
24
24
24
27
27
27
30
30
30
32
32
32
33
33
33
33
33
33
33
34
34
34
34
34
35
36
36
38
39
39
