sent_to_db_loop
0
0
0
0
0
0
0
0
0
3
3
3
4
4
6
6
6
8
9
9
9
10
10
12
12
12
12
13
14
15
15
15
15
15
17
18
18
18
18
19
19
21
21
21
21
21
21
21
21
21
22
22
23
23
24
24
24
26
27
27
27
29
29
29
