dir_obs_lats
0
0
0
0
0
0
0
0
0
0
3
0
4
4
0
6
6
8
6
9
9
10
10
9
12
0
12
13
14
15
8
15
15
15
14
18
18
18
18
19
11
21
21
21
21
21
21
21
21
21
22
11
23
23
24
21
24
26
27
27
27
26
29
16
