dir_obs_lats
0
0
0
3
6
9
9
9
9
11
11
11
11
12
12
12
13
0
15
15
5
18
18
18
19
20
21
18
28
28
28
29
29
30
30
24
30
13
30
34
34
34
34
19
34
22
35
36
36
37
39
36
36
36
24
42
42
42
35
40
44
44
45
