id,dir_obs_id,observer,a1,a2,sender,where,when,sent_at_loop,sent_where
4134,429,886,9276,4783,58,394933701,15,25,2146616630
4135,429,886,4783,58,58,2146616630,25,25,2146616630
4136,430,3491,3491,886,58,394933697,12,25,2146616630
4137,430,3491,886,4783,58,394933701,15,25,2146616630
4138,430,3491,1121,4783,58,394933701,15,25,2146616630
4139,430,3491,886,1121,58,394933701,15,25,2146616630
4140,430,3491,3491,1121,58,394933701,15,25,2146616630
4141,430,3491,9276,1121,58,394933701,15,25,2146616630
4142,430,3491,886,9276,58,394933697,12,25,2146616630
4143,430,3491,3491,9276,58,394933697,12,25,2146616630
4144,430,3491,7860,9276,58,394933697,12,25,2146616630
4145,430,3491,886,7860,58,394933697,12,25,2146616630
4146,430,3491,3491,7860,58,394933697,12,25,2146616630
4147,430,3491,3491,4783,58,394933701,15,25,2146616630
4148,430,3491,9276,4783,58,394933701,15,25,2146616630
4149,430,3491,4783,58,58,2146616630,25,25,2146616630
4150,431,7860,7860,886,58,394933697,12,25,2146616630
4151,431,7860,886,4783,58,394933701,15,25,2146616630
4152,431,7860,1121,4783,58,394933701,15,25,2146616630
4153,431,7860,886,1121,58,394933701,15,25,2146616630
4154,431,7860,3491,1121,58,394933701,15,25,2146616630
4155,431,7860,886,3491,58,394933697,12,25,2146616630
4156,431,7860,7860,3491,58,394933697,12,25,2146616630
4157,431,7860,9276,1121,58,394933701,15,25,2146616630
4158,431,7860,886,9276,58,394933697,12,25,2146616630
4159,431,7860,3491,9276,58,394933697,12,25,2146616630
4160,431,7860,7860,9276,58,394933697,12,25,2146616630
4161,431,7860,3491,4783,58,394933701,15,25,2146616630
4162,431,7860,9276,4783,58,394933701,15,25,2146616630
4163,431,7860,4783,58,58,2146616630,25,25,2146616630
4164,432,9276,9276,886,58,394933697,12,25,2146616630
4165,432,9276,886,4783,58,394933701,15,25,2146616630
4166,432,9276,1121,4783,58,394933701,15,25,2146616630
4167,432,9276,886,1121,58,394933701,15,25,2146616630
4168,432,9276,3491,1121,58,394933701,15,25,2146616630
4169,432,9276,886,3491,58,394933697,12,25,2146616630
4170,432,9276,9276,3491,58,394933697,12,25,2146616630
4171,432,9276,9276,1121,58,394933701,15,25,2146616630
4172,432,9276,3491,4783,58,394933701,15,25,2146616630
4173,432,9276,9276,4783,58,394933701,15,25,2146616630
4174,432,9276,4783,58,58,2146616630,25,25,2146616630
4175,433,4783,4783,58,58,2146616630,25,25,2146616630
4176,434,8285,8285,4783,58,394933697,18,25,2146616630
4177,434,8285,886,4783,58,394933697,18,25,2146616630
4178,434,8285,8285,886,58,394933697,18,25,2146616630
4179,434,8285,1121,4783,58,394933697,18,25,2146616630
4180,434,8285,8285,1121,58,394933697,18,25,2146616630
4181,434,8285,886,1121,58,394933697,18,25,2146616630
4182,434,8285,4783,58,58,2146616630,25,25,2146616630
4183,435,886,886,8285,58,394933697,18,25,2146616630
4184,435,886,8285,4783,58,394933697,18,25,2146616630
4185,435,886,886,4783,58,394933697,18,25,2146616630
4186,435,886,1121,4783,58,394933697,18,25,2146616630
4187,435,886,8285,1121,58,394933697,18,25,2146616630
4188,435,886,886,1121,58,394933697,18,25,2146616630
4189,435,886,4783,58,58,2146616630,25,25,2146616630
4190,436,1121,1121,8285,58,394933697,18,25,2146616630
4191,436,1121,8285,4783,58,394933697,18,25,2146616630
4192,436,1121,886,4783,58,394933697,18,25,2146616630
4193,436,1121,8285,886,58,394933697,18,25,2146616630
4194,436,1121,1121,886,58,394933697,18,25,2146616630
4195,436,1121,1121,4783,58,394933697,18,25,2146616630
4196,436,1121,4783,58,58,2146616630,25,25,2146616630
4197,437,7225,7225,8285,58,394933697,18,25,2146616630
4198,437,7225,8285,4783,58,394933697,18,25,2146616630
4199,437,7225,886,4783,58,394933697,18,25,2146616630
4200,437,7225,8285,886,58,394933697,18,25,2146616630
4201,437,7225,7225,886,58,394933697,18,25,2146616630
4202,437,7225,1121,4783,58,394933697,18,25,2146616630
4203,437,7225,8285,1121,58,394933697,18,25,2146616630
4204,437,7225,886,1121,58,394933697,18,25,2146616630
4205,437,7225,7225,1121,58,394933697,18,25,2146616630
4206,437,7225,7225,4783,58,394933697,18,25,2146616630
4207,437,7225,4783,58,58,2146616630,25,25,2146616630
4208,438,1007,1007,5407,67,2147605040,10,25,3430905508
4209,438,1007,5407,9566,67,3430868589,12,25,3430905508
4210,438,1007,9566,67,67,3430905508,25,25,3430905508
4211,439,862,862,1007,67,3430889399,0,25,3430905508
4212,439,862,1007,5407,67,2147605040,10,25,3430905508
4213,439,862,5407,9566,67,3430868589,12,25,3430905508
4214,439,862,9566,67,67,3430905508,25,25,3430905508
4215,440,5717,5717,862,67,3430889399,0,25,3430905508
4216,440,5717,862,1007,67,3430889399,0,25,3430905508
4217,440,5717,5717,1007,67,3430889399,0,25,3430905508
4218,440,5717,1007,5407,67,2147605040,10,25,3430905508
4219,440,5717,5407,9566,67,3430868589,12,25,3430905508
4220,440,5717,9566,67,67,3430905508,25,25,3430905508
4221,441,6686,6686,862,67,3430889399,0,25,3430905508
4222,441,6686,862,1007,67,3430889399,0,25,3430905508
4223,441,6686,6686,1007,67,3430889399,0,25,3430905508
4224,441,6686,1007,5407,67,2147605040,10,25,3430905508
4225,441,6686,5407,9566,67,3430868589,12,25,3430905508
4226,441,6686,9566,67,67,3430905508,25,25,3430905508
4227,442,6945,6945,862,67,3430889399,0,25,3430905508
4228,442,6945,862,1007,67,3430889399,0,25,3430905508
4229,442,6945,6945,1007,67,3430889399,0,25,3430905508
4230,442,6945,1007,5407,67,2147605040,10,25,3430905508
4231,442,6945,5407,9566,67,3430868589,12,25,3430905508
4232,442,6945,9566,67,67,3430905508,25,25,3430905508
4233,443,9343,9343,862,67,3430889399,0,25,3430905508
4234,443,9343,862,1007,67,3430889399,0,25,3430905508
4235,443,9343,9343,1007,67,3430889399,0,25,3430905508
4236,443,9343,1007,5407,67,2147605040,10,25,3430905508
4237,443,9343,5407,9566,67,3430868589,12,25,3430905508
4238,443,9343,9566,67,67,3430905508,25,25,3430905508
4239,444,3264,3264,72,72,921900673,25,25,921900673
4240,445,9439,9439,3264,72,921905665,21,25,921900673
4241,445,9439,3264,72,72,921900673,25,25,921900673
4242,446,4286,4286,9439,72,921905665,16,25,921900673
4243,446,4286,9439,3264,72,921905665,21,25,921900673
4244,446,4286,3264,72,72,921900673,25,25,921900673
4245,447,7707,7707,9439,72,921905665,16,25,921900673
4246,447,7707,9439,3264,72,921905665,21,25,921900673
4247,447,7707,3264,72,72,921900673,25,25,921900673
4248,448,9439,9439,3264,72,921905665,21,25,921900673
4249,448,9439,3264,72,72,921900673,25,25,921900673
4250,166,974,974,5459,6,764078741,12,26,2442819333
4251,166,974,5459,6,6,2442819333,26,26,2442819333
4252,165,9225,9225,974,6,764078714,0,26,2442819333
4253,165,9225,974,5459,6,764078741,12,26,2442819333
4254,165,9225,5459,6,6,2442819333,26,26,2442819333
4255,449,657,657,2623,67,3430868592,0,26,3430905509
4256,449,657,2623,862,67,3430868564,11,26,3430905509
4257,449,657,9604,862,67,3430868564,11,26,3430905509
4258,449,657,2623,9604,67,3430868567,8,26,3430905509
4259,449,657,6929,9604,67,3430868567,8,26,3430905509
4260,449,657,657,6929,67,3430868592,0,26,3430905509
4261,449,657,2623,6929,67,3430868592,0,26,3430905509
4262,449,657,7172,9604,67,3430868567,8,26,3430905509
4263,449,657,657,7172,67,3430868592,0,26,3430905509
4264,449,657,2623,7172,67,3430868592,0,26,3430905509
4265,449,657,6929,7172,67,3430868592,0,26,3430905509
4266,449,657,8003,9604,67,3430868567,8,26,3430905509
4267,449,657,657,8003,67,3430868592,0,26,3430905509
4268,449,657,2623,8003,67,3430868592,0,26,3430905509
4269,449,657,6929,8003,67,3430868592,0,26,3430905509
4270,449,657,7172,8003,67,3430868592,0,26,3430905509
4271,449,657,862,459,67,3430868589,19,26,3430905509
4272,449,657,459,67,67,3430905509,26,26,3430905509
4273,450,122,122,657,67,3430889399,0,26,3430905509
4274,450,122,657,2623,67,3430868592,0,26,3430905509
4275,450,122,2623,862,67,3430868564,11,26,3430905509
4276,450,122,9604,862,67,3430868564,11,26,3430905509
4277,450,122,2623,9604,67,3430868567,8,26,3430905509
4278,450,122,6929,9604,67,3430868567,8,26,3430905509
4279,450,122,657,6929,67,3430868592,0,26,3430905509
4280,450,122,2623,6929,67,3430868592,0,26,3430905509
4281,450,122,7172,9604,67,3430868567,8,26,3430905509
4282,450,122,657,7172,67,3430868592,0,26,3430905509
4283,450,122,2623,7172,67,3430868592,0,26,3430905509
4284,450,122,6929,7172,67,3430868592,0,26,3430905509
4285,450,122,8003,9604,67,3430868567,8,26,3430905509
4286,450,122,657,8003,67,3430868592,0,26,3430905509
4287,450,122,2623,8003,67,3430868592,0,26,3430905509
4288,450,122,6929,8003,67,3430868592,0,26,3430905509
4289,450,122,7172,8003,67,3430868592,0,26,3430905509
