0,014
0,06
0,06
0,06
0,105
0,112
0,119
0,161
0,163
0,172
0,249
0,309
0,318
0,385
0,423
0,474
0,538
0,599
0,635
0,774
0,808
0,913
1,097
1,142
1,178
1,338
1,456
1,504
1,66
1,79
1,843
2,052
2,202
2,434
2,658
2,83
3,012
3,163
3,273
3,399
3,559
3,709
3,943
4,2
4,484
4,681
4,934
5,191
5,397
5,684
6,206
6,505
6,819
7,108
7,422
8,019
8,456
8,799
9,16
9,467
9,957
10,841
11,288
11,764
12,056
12,567
13,188
13,732
14,684
15,123
15,727
16,486
17,268
17,924
18,767
19,724
20,579
21,46
22,15
23,02
24,098
24,87
26,281
26,999
27,79
28,895
29,967
31,69
33,071
34,434
35,326
36,663
38,305
39,626
41,532
