dir_obs_lats
9
12
12
0
15
9
17
19
21
24
27
27
27
28
28
30
30
33
33
33
34
19
34
22
41
51
46
46
52
52
52
54
54
40
57
57
57
54
57
60
62
62
62
55
64
62
65
65
65
62
72
72
72
72
72
72
72
77
69
77
77
77
77
