dir_obs_lats
0
0
0
0
0
3
3
0
6
3
0
6
0
3
9
9
9
9
9
9
11
11
11
11
12
9
12
12
12
0
12
0
15
9
15
16
17
18
18
18
12
19
19
20
21
21
21
22
23
23
24
16
18
24
24
24
18
25
24
27
27
27
27
27
28
28
29
29
26
30
25
30
30
29
30
33
33
33
33
34
34
19
22
35
39
36
39
39
