id,dir_obs_id,observer,a1,a2,sender,where,when,sent_at_loop,sent_where
1770,212,536,648,76,3,932301761,127,143,932302873
1771,212,536,76,551,3,387949811,135,143,932302873
1772,212,536,551,3,3,932302873,143,143,932302873
1773,213,488,488,863,3,4357786070,43,143,932302873
1774,213,488,863,769,3,932299282,64,143,932302873
1775,213,488,769,508,3,6140707134,70,143,932302873
1776,213,488,508,810,3,387949851,77,143,932302873
1777,213,488,810,648,3,387949851,90,143,932302873
1778,213,488,508,648,3,932300693,112,143,932302873
1779,213,488,787,508,3,4364724572,102,143,932302873
1780,213,488,769,787,3,932300693,94,143,932302873
1781,213,488,648,76,3,932301761,127,143,932302873
1782,213,488,76,551,3,387949811,135,143,932302873
1783,213,488,551,3,3,932302873,143,143,932302873
1784,214,978,978,903,3,932301966,41,143,932302873
1785,214,978,903,863,3,4366004370,57,143,932302873
1786,214,978,863,769,3,932299282,64,143,932302873
1787,214,978,769,508,3,6140707134,70,143,932302873
1788,214,978,508,810,3,387949851,77,143,932302873
1789,214,978,810,648,3,387949851,90,143,932302873
1790,214,978,508,648,3,932300693,112,143,932302873
1791,214,978,787,508,3,4364724572,102,143,932302873
1792,214,978,769,787,3,932300693,94,143,932302873
1793,214,978,648,76,3,932301761,127,143,932302873
1794,214,978,76,551,3,387949811,135,143,932302873
1795,214,978,551,3,3,932302873,143,143,932302873
1796,215,78,78,903,3,4357786070,63,143,932302873
1797,215,78,903,863,3,4366004370,76,143,932302873
1798,215,78,863,769,3,387949851,80,143,932302873
1799,215,78,769,787,3,932300693,94,143,932302873
1800,215,78,787,508,3,4364724572,102,143,932302873
1801,215,78,508,648,3,932300693,112,143,932302873
1802,215,78,648,76,3,932301761,127,143,932302873
1803,215,78,76,551,3,387949811,135,143,932302873
1804,215,78,551,3,3,932302873,143,143,932302873
1805,216,903,903,863,3,4366004370,76,143,932302873
1806,216,903,863,769,3,387949851,80,143,932302873
1807,216,903,769,787,3,932300693,94,143,932302873
1808,216,903,787,508,3,4364724572,102,143,932302873
1809,216,903,508,648,3,932300693,112,143,932302873
1810,216,903,648,76,3,932301761,127,143,932302873
1811,216,903,76,551,3,387949811,135,143,932302873
1812,216,903,551,3,3,932302873,143,143,932302873
1813,154,95,95,19,19,4364483676,143,143,4364483676
1814,71,822,822,249,46,3030507614,3,143,932299559
1815,71,822,249,204,46,4364251063,15,143,932299559
1816,71,822,204,130,46,4364404955,45,143,932299559
1817,71,822,130,330,46,82604276,48,143,932299559
1818,71,822,330,846,46,4364395483,57,143,932299559
1819,71,822,846,478,46,4364473498,77,143,932299559
1820,71,822,478,355,46,4364521937,91,143,932299559
1821,71,822,355,400,46,932299559,97,143,932299559
1822,71,822,400,46,46,932299559,143,143,932299559
1823,97,249,249,204,46,4364251063,15,143,932299559
1824,97,249,204,130,46,4364404955,45,143,932299559
1825,97,249,130,330,46,82604276,48,143,932299559
1826,97,249,330,846,46,4364395483,57,143,932299559
1827,97,249,846,478,46,4364473498,77,143,932299559
1828,97,249,478,355,46,4364521937,91,143,932299559
1829,97,249,355,400,46,932299559,97,143,932299559
1830,97,249,400,46,46,932299559,143,143,932299559
1831,155,956,956,979,95,4364340036,73,143,4364483676
1832,155,956,979,543,95,8325961470,107,143,4364483676
1833,155,956,543,19,95,4364340057,126,143,4364483676
1834,155,956,19,95,95,4364483676,143,143,4364483676
1835,223,871,871,282,19,4364340066,138,144,4364340066
1836,223,871,282,19,19,4364340066,144,144,4364340066
1837,224,84,84,84,84,932300411,144,144,932300411
1838,56,173,173,58,7,932299117,67,146,4364796447
1839,56,173,58,796,7,6119949795,72,146,4364796447
1840,56,173,796,7,7,4364796447,146,146,4364796447
1841,23,979,979,956,7,4367529463,31,146,4364796447
1842,23,979,956,742,7,4364340049,50,146,4364796447
1843,23,979,742,295,7,4364340191,70,146,4364796447
1844,23,979,882,295,7,4366963876,111,146,4364796447
1845,23,979,742,882,7,4364340191,76,146,4364796447
1846,23,979,295,796,7,932299464,129,146,4364796447
1847,23,979,796,7,7,4364796447,146,146,4364796447
1848,24,645,645,979,7,4364340025,9,146,4364796447
1849,24,645,979,956,7,4367529463,31,146,4364796447
1850,24,645,956,742,7,4364340049,50,146,4364796447
1851,24,645,742,295,7,4364340191,70,146,4364796447
1852,24,645,882,295,7,4366963876,111,146,4364796447
1853,24,645,742,882,7,4364340191,76,146,4364796447
1854,24,645,295,796,7,932299464,129,146,4364796447
1855,24,645,796,7,7,4364796447,146,146,4364796447
1856,69,58,58,796,7,932303502,130,146,4364796447
1857,69,58,796,7,7,4364796447,146,146,4364796447
1858,70,173,173,58,7,4364519587,78,146,4364796447
1859,70,173,58,796,7,932303502,130,146,4364796447
1860,92,459,459,705,38,3030507626,49,146,4365325906
1861,92,459,705,446,38,4379091319,83,146,4365325906
1862,92,459,446,973,38,932303796,92,146,4365325906
1863,92,459,973,342,38,4364796484,110,146,4365325906
1864,92,459,586,342,38,4364796484,122,146,4365325906
1865,92,459,973,586,38,4364796484,115,146,4365325906
1866,92,459,342,60,38,4365325891,139,146,4365325906
1867,92,459,60,38,38,4365325906,146,146,4365325906
1868,94,705,705,446,38,4379091319,83,146,4365325906
1869,94,705,446,973,38,932303796,92,146,4365325906
1870,94,705,973,342,38,4364796484,110,146,4365325906
1871,94,705,586,342,38,4364796484,122,146,4365325906
1872,94,705,973,586,38,4364796484,115,146,4365325906
1873,94,705,342,60,38,4365325891,139,146,4365325906
1874,94,705,60,38,38,4365325906,146,146,4365325906
1875,225,84,84,84,84,932300411,150,150,932300411
1876,59,386,386,355,82,4364419981,133,151,4364473498
1877,59,386,355,82,82,4364473498,151,151,4364473498
1878,58,205,205,386,82,932300411,9,151,4364473498
1879,58,205,386,355,82,4364419981,133,151,4364473498
1880,58,205,355,82,82,4364473498,151,151,4364473498
1881,61,205,205,386,82,932300411,15,151,4364473498
1882,1,459,459,342,82,4364793656,16,151,4364473498
1883,1,459,342,386,82,932301224,39,151,4364473498
1884,1,459,386,355,82,4364419981,133,151,4364473498
1885,1,459,355,82,82,4364473498,151,151,4364473498
1886,223,871,871,282,95,4364340066,138,152,4364483789
1887,223,871,282,19,95,4364340066,144,152,4364483789
1888,223,871,19,95,95,4364483789,152,152,4364483789
1889,156,236,236,195,58,932303718,112,154,932303502
1890,156,236,195,468,58,932299739,115,154,932303502
1891,156,236,71,468,58,932303718,124,154,932303502
1892,156,236,236,71,58,4365370735,79,154,932303502
1893,156,236,468,58,58,932303502,154,154,932303502
1894,85,3,3,648,58,387949851,24,154,932303502
1895,85,3,648,508,58,6140707134,27,154,932303502
1896,85,3,508,236,58,4365976773,29,154,932303502
1897,85,3,648,236,58,4365370737,49,154,932303502
1898,85,3,236,195,58,932303718,112,154,932303502
1899,85,3,195,468,58,932299739,115,154,932303502
1900,85,3,71,468,58,932303718,124,154,932303502
1901,85,3,236,71,58,4365370735,79,154,932303502
1902,85,3,468,58,58,932303502,154,154,932303502
1903,226,996,996,491,76,3918522983,53,154,387949811
1904,226,996,343,491,76,4357784397,72,154,387949811
1905,226,996,996,343,76,4357784397,60,154,387949811
1906,226,996,932,491,76,4357784397,72,154,387949811
1907,226,996,996,932,76,4357784263,68,154,387949811
1908,226,996,491,455,76,6855865918,89,154,387949811
1909,226,996,455,704,76,3918522919,94,154,387949811
1910,226,996,36,704,76,3918522919,94,154,387949811
1911,226,996,455,36,76,3918522919,94,154,387949811
1912,226,996,704,592,76,4365337279,121,154,387949811
1913,226,996,592,945,76,932299167,126,154,387949811
1914,226,996,945,809,76,4365337279,127,154,387949811
1915,226,996,809,669,76,932299167,129,154,387949811
1916,226,996,747,669,76,932301761,148,154,387949811
1917,226,996,945,747,76,932299167,135,154,387949811
1918,226,996,669,76,76,387949811,154,154,387949811
1919,227,587,587,491,76,3918522983,63,154,387949811
1920,227,587,491,455,76,6855865918,89,154,387949811
1921,227,587,455,704,76,3918522919,94,154,387949811
1922,227,587,36,704,76,3918522919,94,154,387949811
1923,227,587,455,36,76,3918522919,94,154,387949811
1924,227,587,704,592,76,4365337279,121,154,387949811
1925,227,587,592,945,76,932299167,126,154,387949811
1926,227,587,945,809,76,4365337279,127,154,387949811
