dir_obs_lats
9
12
12
0
15
9
17
19
21
30
33
33
19
34
34
22
27
36
27
39
52
59
50
32
52
50
61
51
75
34
77
58
87
59
62
94
94
79
101
104
89
89
104
104
104
91
99
102
86
105
77
105
111
102
108
111
114
62
104
121
69
142
142
142
105
127
