dir_obs_lats
0
0
6
6
9
9
11
11
12
9
12
0
12
11
9
15
17
18
12
13
19
21
21
21
22
24
22
30
24
26
32
30
30
33
33
33
33
34
34
19
34
22
35
30
36
27
36
38
36
39
