Ncoders,who,when,what,observations,ground_truth,distance,CVR,Kalpha
15,90,17,0,"[{'situation': 'PanickedPeople', 'object': 'CityHall', 'coders': 15}]","{'situation': 'PanickedPeople', 'object': 'CityHall'}",0,1,1
30,127,18,0,"[{'situation': 'PanickedPeople', 'object': 'CityHall', 'coders': 30}]",,0,1,1
36,625,18,0,"[{'situation': 'PanickedPeople', 'object': 'CityHall', 'coders': 36}]",,0,1,1
51,84,48,0,"[{'situation': 'PanickedPeople', 'object': 'CityHall', 'coders': 51}]",,0,1,1
57,386,0,1,"[{'situation': 'PanickedPeople', 'object': 'CityHall', 'coders': 51}, {'situation': 'EmergencyPeople', 'object': 'PublicBuilding', 'coders': 6}]",,1,1,0.62
63,205,9,1,"[{'situation': 'PanickedPeople', 'object': 'CityHall', 'coders': 57}, {'situation': 'EmergencyPeople', 'object': 'PublicBuilding', 'coders': 6}]",,0,1,0.653
