sent_to_db_loop
0
0
0
3
6
9
9
9
9
11
11
11
11
12
12
12
13
13
15
15
17
18
18
18
19
20
21
25
28
29
29
30
30
31
33
33
34
34
34
34
34
34
34
35
39
39
39
40
41
43
45
45
48
51
51
51
51
51
52
54
57
57
58
